ID,Age,Gender,Education,Income,PlayerType,GameHoursPerWeek,GE1,GE2,GE3,GE4,CS1,CS2,CS3,CI1,CI2,CI3,CI4,NOS1,NOS2,NOS3,COG1,COG2,COG3,AFF1,AFF2,AFF3,RISK1,RISK2,RISK3,RES1,RES2,RES3,RES4,GAP1,GAP2,GAP3,TI1,TI2,TI3,REC1,REC2,Duration_sec,SubmitTime,IP_Location,item_std,item_count,missing_ratio,GE_mean,TI_mean,max_streak
12,3,1,2.0,3.0,2,8,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,3.0,412,2025-03-01 19:19:00,广东,0.9813384788563189,35,0.0,1.75,4.0,5
14,5,1,3.0,1.0,2,6,1.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,359,2025-03-02 04:54:00,广东,0.8178676928606547,35,0.0,1.5,2.3333333333333335,6
15,2,1,3.0,2.0,2,27,1.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,1.0,1.0,2.0,,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,257,2025-03-01 11:46:00,河南,1.0834190285590568,34,0.02857142857142857,3.0,4.0,4
16,2,2,1.0,2.0,2,53,2.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,4.0,5.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,316,2025-03-01 17:21:00,北京,1.0330667407076384,35,0.0,3.5,3.0,3
17,2,1,3.0,,2,17,3.0,5.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,,3.0,398,2025-03-01 12:49:00,北京,1.079710795106504,34,0.02857142857142857,3.75,2.3333333333333335,5
18,1,2,2.0,2.0,3,8,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,326,2025-03-02 00:02:00,广东,1.1167178800079327,35,0.0,4.0,2.6666666666666665,5
19,2,1,1.0,1.0,2,11,2.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,154,2025-03-02 00:41:00,广东,1.0784364654832634,35,0.0,2.5,1.3333333333333333,4
20,3,1,4.0,2.0,3,63,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,174,2025-03-02 08:42:00,北京,1.0025178386476337,35,0.0,4.75,4.0,3
21,1,1,2.0,2.0,1,55,1.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,317,2025-03-01 17:59:00,山东,1.113703791164321,35,0.0,1.75,3.0,3
22,1,1,3.0,2.0,3,13,4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,455,2025-03-01 17:31:00,广东,0.9139442639718566,35,0.0,4.75,3.6666666666666665,4
23,5,1,2.0,1.0,2,11,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,482,2025-03-02 01:13:00,四川,0.9787661586289705,35,0.0,2.25,3.0,6
24,1,2,2.0,1.0,3,19,3.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,4.0,3.0,1.0,3.0,,5.0,4.0,4.0,5.0,4.0,391,2025-03-01 14:35:00,其他,1.025955491350248,34,0.02857142857142857,3.0,4.333333333333333,3
25,1,2,3.0,3.0,1,14,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,641,2025-03-01 14:12:00,江苏,1.2112914144648688,35,0.0,2.25,4.333333333333333,3
26,3,2,1.0,4.0,2,5,3.0,4.0,4.0,3.0,3.0,2.0,2.0,5.0,3.0,5.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,2.0,,,,,,311,2025-03-01 13:34:00,福建,1.165105688067746,30,0.14285714285714285,3.5,,3
27,3,2,1.0,1.0,1,5,5.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,1.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,5.0,4.0,4.0,3.0,3.0,393,2025-03-02 10:27:00,上海,1.3738249371674667,35,0.0,4.25,4.333333333333333,2
28,2,2,2.0,1.0,2,11,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,,,,,,309,2025-03-01 19:44:00,广东,1.1724814044061256,30,0.14285714285714285,1.75,,3
29,2,1,2.0,1.0,1,10,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,359,2025-03-02 07:29:00,江苏,0.7045813917578353,34,0.02857142857142857,2.0,2.6666666666666665,4
30,2,2,1.0,2.0,3,36,4.0,5.0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,,2.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,,4.0,5.0,4.0,4.0,4.0,3.0,268,2025-03-02 13:59:00,河南,1.0037807318213263,33,0.05714285714285714,4.25,4.333333333333333,3
31,1,2,2.0,4.0,2,7,3.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,313,2025-03-01 16:54:00,浙江,1.0100336960848835,35,0.0,4.0,3.0,6
32,3,2,2.0,2.0,2,19,5.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,309,2025-03-02 03:11:00,浙江,1.0977440579692166,35,0.0,4.25,2.3333333333333335,6
33,1,1,2.0,2.0,2,29,3.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,387,2025-03-02 06:50:00,北京,1.136114563994762,35,0.0,2.75,2.3333333333333335,4
34,2,2,2.0,1.0,1,10,3.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,476,2025-03-01 20:41:00,江苏,1.1099246700156025,35,0.0,3.5,3.0,5
35,4,2,2.0,2.0,1,11,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,558,2025-03-02 07:12:00,北京,0.9727376251564231,35,0.0,2.0,2.6666666666666665,3
36,1,2,2.0,2.0,3,33,4.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0,5.0,3.0,4.0,427,2025-03-02 11:16:00,其他,1.235334133005345,35,0.0,4.5,4.666666666666667,3
37,3,2,2.0,2.0,2,70,1.0,1.0,2.0,1.0,3.0,3.0,3.0,,2.0,2.0,1.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,317,2025-03-02 05:47:00,湖北,1.0154773734063103,34,0.02857142857142857,1.25,1.3333333333333333,3
38,3,2,1.0,2.0,2,67,2.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,361,2025-03-01 18:39:00,江苏,0.9000466841300208,35,0.0,2.75,3.3333333333333335,3
39,2,1,2.0,5.0,2,34,4.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,279,2025-03-02 04:02:00,上海,1.022437358110757,35,0.0,4.25,2.3333333333333335,5
43,2,1,3.0,5.0,1,22,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,5.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,479,2025-03-02 00:31:00,四川,1.0784364654832634,35,0.0,3.0,2.3333333333333335,4
44,3,2,4.0,1.0,3,48,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,440,2025-03-02 20:00:00,广东,1.2078176722551153,35,0.0,4.5,4.333333333333333,4
45,4,1,4.0,1.0,3,70,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,,5.0,5.0,5.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,325,2025-03-02 08:40:00,江苏,1.7222461808081846,34,0.02857142857142857,5.0,5.0,11
46,1,2,2.0,,2,18,3.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,,,,,,370,2025-03-01 23:08:00,山东,1.0333518722845685,30,0.14285714285714285,3.25,,3
47,2,1,3.0,4.0,1,16,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,5.0,5.0,4.0,4.0,2.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,,,,,,392,2025-03-02 06:42:00,其他,1.2172137016162359,30,0.14285714285714285,3.25,,3
48,4,1,3.0,2.0,2,7,3.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,,1.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,270,2025-03-02 20:19:00,江苏,1.1643087963517378,34,0.02857142857142857,2.5,2.3333333333333335,4
49,1,1,2.0,4.0,2,17,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,,3.0,4.0,2.0,1.0,2.0,5.0,5.0,4.0,5.0,5.0,393,2025-03-02 20:03:00,广东,1.1046006529490844,34,0.02857142857142857,3.25,4.666666666666667,3
50,4,2,2.0,1.0,2,11,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,,4.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,397,2025-03-02 19:28:00,江苏,0.9249945801257605,34,0.02857142857142857,3.0,1.6666666666666667,7
51,1,1,2.0,1.0,1,5,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,425,2025-03-02 16:41:00,河南,1.0100336960848835,35,0.0,2.75,3.6666666666666665,4
52,2,1,2.0,4.0,3,42,5.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,305,2025-03-02 02:38:00,四川,0.780002154705061,35,0.0,3.75,3.6666666666666665,4
53,2,2,2.0,3.0,3,38,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,1.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,2.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,249,2025-03-02 23:59:00,湖北,1.1717974414110481,35,0.0,2.0,3.6666666666666665,7
54,4,1,2.0,2.0,2,7,3.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,3.0,381,2025-03-02 06:33:00,广东,1.0427823157223148,35,0.0,2.0,3.3333333333333335,4
55,1,1,3.0,1.0,2,18,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,593,2025-03-02 16:00:00,广东,0.6859943405700354,35,0.0,5.0,4.333333333333333,6
56,1,2,2.0,3.0,2,22,4.0,2.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,369,2025-03-02 15:20:00,江苏,1.1902969052673689,35,0.0,3.25,5.0,6
57,4,2,2.0,1.0,1,9,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,369,2025-03-02 21:36:00,广东,0.8570027896760926,35,0.0,1.0,1.6666666666666667,5
58,4,1,2.0,4.0,2,24,1.0,,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,343,2025-03-02 08:09:00,北京,1.0207298776199087,34,0.02857142857142857,2.0,2.6666666666666665,3
59,1,1,2.0,1.0,3,25,2.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,423,2025-03-02 10:54:00,四川,1.0041928905068678,35,0.0,3.5,1.6666666666666667,4
60,6,2,2.0,1.0,2,18,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,360,2025-03-02 13:00:00,江苏,1.0946777277953053,35,0.0,3.25,3.3333333333333335,4
61,1,1,1.0,4.0,3,32,4.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,,4.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,262,2025-03-03 04:16:00,其他,0.9515912182772165,34,0.02857142857142857,4.5,3.3333333333333335,3
62,1,2,3.0,1.0,2,6,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,,4.0,1.0,2.0,1.0,1.0,1.0,233,2025-03-03 02:18:00,浙江,0.9905975078001625,34,0.02857142857142857,2.75,1.3333333333333333,4
63,3,1,3.0,1.0,2,14,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,515,2025-03-02 16:15:00,福建,1.1398068537544184,35,0.0,2.25,2.0,5
64,4,1,3.0,1.0,1,53,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,316,2025-03-02 10:29:00,其他,1.0025178386476337,35,0.0,1.75,2.6666666666666665,6
65,2,2,2.0,2.0,2,11,3.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,367,2025-03-03 04:52:00,上海,1.196633934463353,35,0.0,3.0,1.0,5
66,1,1,2.0,,2,70,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,249,2025-03-02 17:38:00,上海,0.9570613285232153,35,0.0,3.25,1.3333333333333333,4
67,2,1,2.0,1.0,2,30,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,5.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,516,2025-03-02 09:50:00,北京,1.1398068537544184,35,0.0,2.0,1.3333333333333333,4
69,3,2,3.0,3.0,1,3,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,,5.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,,1.0,5.0,5.0,5.0,1.0,5.0,369,2025-03-03 04:34:00,其他,2.030076875690209,33,0.05714285714285714,2.0,5.0,4
71,2,1,3.0,3.0,1,10,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,425,2025-03-03 04:16:00,浙江,0.8744746321952062,35,0.0,1.0,2.0,4
72,3,2,2.0,,2,15,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,5.0,4.0,4.0,,,,,,307,2025-03-02 20:41:00,山东,0.8995528902176073,30,0.14285714285714285,2.5,,4
73,1,1,2.0,2.0,3,10,3.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,,2.0,4.0,3.0,4.0,5.0,4.0,148,2025-03-02 15:10:00,其他,0.9249945801257605,34,0.02857142857142857,3.75,3.6666666666666665,5
